Name,Points,PerKr,URL,ImgURL
DELL,10,100,https://onlineshopping.flysas.com/se/dell-1/19303/,https://onlineshopping.flysas.com/Images/Shops/dell-1/se.jpg
Dentaworks,100,100,https://onlineshopping.flysas.com/se/dentaworks/7479/,https://onlineshopping.flysas.com/Images/Shops/dentaworks/se.jpg
Designtorget,25,100,https://onlineshopping.flysas.com/se/designtorget/18640/,https://onlineshopping.flysas.com/Images/Shops/designtorget/se.jpg
Desigual,25,100,https://onlineshopping.flysas.com/se/desigual/7388/,https://onlineshopping.flysas.com/Images/Shops/desigual/se.jpg
Dharmazone,50,100,https://onlineshopping.flysas.com/se/dharmazone/19073/,https://onlineshopping.flysas.com/Images/Shops/dharmazone/se.jpg
dinvitamin,50,100,https://onlineshopping.flysas.com/se/din-vitamin/19512/,https://onlineshopping.flysas.com/Images/Shops/din-vitamin/se.jpg
Direct Ferries,10,100,https://onlineshopping.flysas.com/se/direct-ferries/19577/,https://onlineshopping.flysas.com/Images/Shops/direct-ferries/se.jpg
Discshop,15,100,https://onlineshopping.flysas.com/se/discshop/6965/,https://onlineshopping.flysas.com/Images/Shops/discshop/se.jpg
Disney+,500,,https://onlineshopping.flysas.com/se/disney+-1/19237/,https://onlineshopping.flysas.com/Images/Shops/disney+-1/se.jpg
Dogman,25,100,https://onlineshopping.flysas.com/se/dogman/19521/,https://onlineshopping.flysas.com/Images/Shops/dogman/se.jpg
Dplay,250,,https://onlineshopping.flysas.com/se/dplay.se/19282/,https://onlineshopping.flysas.com/Images/Shops/dplay.se/se.jpg
Droppbollen,10,100,https://onlineshopping.flysas.com/se/droppbollen/19326/,https://onlineshopping.flysas.com/Images/Shops/droppbollen/se.jpg
Dunbutiken,25,100,https://onlineshopping.flysas.com/se/dunbutiken/16938/,https://onlineshopping.flysas.com/Images/Shops/dunbutiken/se.jpg
Dustin,10,100,https://onlineshopping.flysas.com/se/dustin-1/18416/,https://onlineshopping.flysas.com/Images/Shops/dustin-1/se.jpg
Dustin Home,10,100,https://onlineshopping.flysas.com/se/dustin-home--performission/18417/,https://onlineshopping.flysas.com/Images/Shops/dustin-home--performission/se.jpg
Dynamic Code,50,100,https://onlineshopping.flysas.com/se/dynamic-code/18877/,https://onlineshopping.flysas.com/Images/Shops/dynamic-code/se.jpg
Dyrberg Kern,25,100,https://onlineshopping.flysas.com/se/dyrberg-kern/17337/,https://onlineshopping.flysas.com/Images/Shops/dyrberg-kern/se.jpg
Dyson,25,100,https://onlineshopping.flysas.com/se/dyson/19442/,https://onlineshopping.flysas.com/Images/Shops/dyson/se.jpg
E-ville,50,100,https://onlineshopping.flysas.com/se/e-ville-1/19114/,https://onlineshopping.flysas.com/Images/Shops/e-ville-1/se.jpg
E-Wheels,50,100,https://onlineshopping.flysas.com/se/e-wheels-2/19369/,https://onlineshopping.flysas.com/Images/Shops/e-wheels-2/se.jpg
